2006d209_20h39m13s_Cont_mike_PKS2155-304.csv
This .csv file was written on, 2006-08-01, 13:48:51
Object, PKS2155-304 

System Data:
Centfreq, 12218.000000 
Bandwdth, 400.000000 
Focus, 7.890625 
Instrume, Total Power 

Calibration Data:
Tcal1, 13.300000 
Tcal2, 15.200000 
Hzperk1, 6292.328374 
Hzperk2, 5764.255743 
Hzkerr1, 0.808053 
Hzkerr2, 0.930089 
Tsys1, 98.062331 
Tsys2, 98.293136 
Tsyserr1, 0.106484 
Tsyserr2, 0.102435 
MJD_cent taken from center of on source scan is, 53944.858216
RA_cent taken from center of on source scan is, 329.823420
RA_mean averaged over center scan is, 329.824423
Dec Apparent 1st scan, -30.164918
Dec Apparent 2nd scan, -30.194786
Dec Apparent 3rd scan, nan
Hour Angle 1st scan, -47.417424
Hour Angle 2nd scan, -46.813748
Hour Angle 3rd scan, -46.206454

RA_apprn,LHC_Pl,RHC_Pl,RA_apprn,LHC_Pl,RHC_Pl,RA_apprn,LHC_Pl,RHC_Pl
-0.213787,0.001987,0.036880,-0.213569,-0.067570,-0.034710,-0.214006,-0.007949,0.056405
-0.213453,0.073532,0.056405,-0.212547,-0.033785,-0.034710,-0.213672,-0.057633,0.073760
-0.213118,0.039747,0.056405,-0.212213,-0.055646,0.008678,-0.213337,-0.023848,0.002169
-0.212784,0.045709,0.054235,-0.211879,-0.017886,0.004339,-0.213003,-0.093405,0.030372
-0.212450,0.035772,0.008678,-0.212232,-0.023848,-0.008678,-0.212669,-0.055646,-0.013016
-0.212116,0.049684,0.047727,-0.211210,-0.049684,-0.004339,-0.212334,-0.069557,-0.034710
-0.211781,0.059620,0.062913,-0.210876,-0.017886,-0.052066,-0.212000,-0.031797,0.052066
-0.211447,0.013911,0.028202,-0.211229,-0.041734,-0.049896,-0.211666,-0.023848,0.036880
-0.211113,0.055646,0.062913,-0.210895,0.011924,0.013016,-0.211332,-0.035772,0.088946
-0.210779,0.045709,-0.008678,-0.209873,-0.057633,0.032541,-0.210997,-0.025835,0.049896
-0.210444,0.059620,0.056405,-0.209539,-0.015899,0.002169,-0.210663,0.023848,0.041219
-0.210111,0.051671,0.069421,-0.209892,-0.001987,-0.060743,-0.210329,-0.023848,0.058574
-0.209777,-0.001987,0.091115,-0.209558,-0.051671,0.021694,-0.209995,-0.035772,0.036880
-0.209442,0.021861,0.041219,-0.209224,-0.037759,-0.013016,-0.209661,-0.073532,-0.006508
-0.209108,0.037759,0.067252,-0.208889,-0.041734,-0.002169,-0.209326,-0.019873,0.019525
-0.208774,0.083468,0.101962,-0.208555,-0.011924,-0.034710,-0.208993,-0.027823,-0.021694
-0.208440,0.087443,0.075929,-0.208221,-0.013911,0.023863,-0.208658,-0.043722,0.015186
-0.208105,0.075519,0.045557,-0.207887,-0.037759,0.010847,-0.208324,-0.039747,0.032541
-0.207771,0.061608,0.069421,-0.207552,0.021861,-0.045557,-0.207989,-0.085456,0.008678
-0.207437,0.099367,0.108470,-0.207218,0.015899,-0.056405,-0.207656,0.017886,-0.026033
-0.207103,0.113278,0.075929,-0.206884,0.017886,0.013016,-0.207322,-0.017886,0.002169
-0.206768,0.077506,0.086776,-0.206550,-0.003975,0.000000,-0.206987,-0.055646,0.043388
-0.206434,0.095392,0.097623,-0.206215,-0.013911,-0.006508,-0.206652,-0.021861,-0.010847
-0.206100,0.099367,0.091115,-0.205881,-0.027823,0.010847,-0.206319,0.007949,0.021694
-0.205766,0.089430,0.095454,-0.205547,-0.005962,-0.034710,-0.205985,-0.021861,0.015186
-0.205432,0.075519,0.047727,-0.205213,0.037759,-0.039049,-0.205650,-0.027823,-0.069421
-0.205098,0.095392,0.091115,-0.204878,-0.007949,0.008678,-0.205316,-0.079494,-0.008678
-0.204764,0.093405,0.106301,-0.204544,-0.003975,-0.049896,-0.204982,-0.051671,0.075929
-0.204429,0.113278,0.082437,-0.204210,0.057633,-0.041219,-0.204648,-0.083468,0.004339
-0.204095,0.115266,0.045557,-0.203876,0.053658,0.008678,-0.204313,-0.027823,-0.030372
-0.203761,0.101354,0.110640,-0.203541,-0.019873,0.019525,-0.203979,-0.089430,0.015186
-0.203427,0.051671,0.002169,-0.203207,0.021861,0.023863,-0.203645,-0.077506,0.023863
-0.203092,0.019873,0.075929,-0.202873,0.005962,-0.021694,-0.203311,-0.009937,0.004339
