2006d208_11h08m04s_Cont_sarah_HYDRA_A.csv
This .csv file was written on, 2007-10-03, 10:23:24
Object, HYDRA A 

-0.615295,-0.038791,0.093948
-0.614961,-0.000746,0.048066
-0.614626,0.055948,-0.012017
-0.614292,-0.029093,0.041512
-0.613958,-0.033569,0.000000
-0.613624,0.022379,0.055713
-0.613289,-0.023871,0.057898
-0.612955,-0.041029,-0.045881
-0.612621,-0.004476,0.061175
-0.612287,-0.009698,0.075377
-0.611953,-0.022379,0.012017
-0.611618,-0.000746,-0.111426
-0.611284,0.035807,0.044789
-0.610950,-0.091755,0.074284
-0.610616,-0.035061,0.109242
-0.610282,-0.035807,0.052436
-0.609947,-0.063408,0.102687
-0.609613,-0.010444,0.110334
-0.609279,-0.009698,0.067730
-0.608945,0.006714,0.072099
-0.608610,0.035061,0.067730
-0.608276,0.079074,0.017479
-0.607942,-0.041029,0.071007
-0.607608,0.015666,0.092855
-0.607273,-0.062662,-0.069915
-0.606939,-0.082058,0.039327
-0.606605,-0.049235,-0.020756
-0.606271,-0.042521,-0.022941
-0.605936,0.024617,0.009832
-0.605602,0.010444,-0.014201
-0.605268,-0.054456,0.184618
-0.604934,0.011190,0.008739
-0.604600,-0.047743,0.131090
-0.604265,-0.004476,0.184618
-0.603931,-0.011190,0.017479
-0.603597,-0.081312,0.074284
-0.603263,-0.044759,0.088486
-0.602928,-0.014920,0.076469
-0.602594,-0.085041,-0.015294
-0.602260,-0.042521,0.063360
-0.601926,-0.024617,-0.093948
-0.601592,0.017157,0.049159
-0.601257,-0.033569,0.195543
-0.600923,-0.044759,0.037142
-0.600589,-0.103691,0.101595
-0.600255,0.058186,-0.101595
-0.599920,-0.033569,0.131090
-0.599586,-0.038045,0.065545
-0.599252,-0.078328,-0.041512
-0.598918,-0.049981,-0.007647
-0.598583,0.014174,0.048066
-0.598249,-0.120102,0.012017
-0.597915,-0.061916,0.037142
-0.597581,-0.061170,0.088486
-0.597247,-0.110405,0.068822
-0.596912,-0.035061,0.099410
-0.596578,-0.027601,0.048066
-0.596244,-0.032823,0.019663
-0.595910,-0.016412,0.042604
-0.595575,0.004476,0.142014
-0.595241,-0.038791,0.055713
-0.594907,-0.080566,-0.024033
-0.594573,0.061170,-0.031680
-0.594238,-0.028347,0.087393
-0.593904,0.014920,0.060083
-0.593570,-0.055948,0.084116
-0.593236,-0.026855,0.007647
-0.592902,0.068630,-0.006554
-0.592567,0.049235,-0.069915
-0.592233,-0.032823,0.003277
-0.591899,0.026855,0.022941
-0.591565,-0.105929,-0.033865
-0.591230,0.011936,0.113611
-0.590896,0.069376,-0.092855
-0.590562,0.016412,-0.103780
-0.590228,0.038791,0.184618
-0.589894,-0.007460,0.108149
-0.589559,-0.014174,0.061175
-0.589225,-0.023125,-0.096133
-0.588891,0.002984,-0.020756
-0.588557,0.002984,-0.051344
-0.588222,-0.024617,0.072099
-0.587888,-0.132784,0.001092
-0.587554,-0.026109,0.040419
-0.587220,-0.029093,-0.031680
-0.586885,-0.070122,0.233777
-0.586551,0.043267,-0.024033
-0.586217,-0.034315,0.004370
-0.585883,-0.041775,-0.049159
-0.585549,-0.029839,-0.004370
-0.585214,0.095485,0.042604
-0.584880,0.057440,0.013109
-0.584546,-0.014174,0.030588
-0.584212,0.005222,0.079746
-0.583877,0.059678,-0.028403
-0.583543,-0.033569,0.005462
-0.583209,-0.071614,0.083024
-0.582875,-0.018649,-0.052436
-0.582541,-0.088771,-0.073192
-0.582206,-0.099961,0.065545
-0.581872,-0.110405,0.108149
-0.581538,0.022379,0.064453
-0.581204,-0.036553,0.097225
-0.580869,-0.045505,-0.112519
-0.580535,-0.038045,0.010924
-0.580201,0.011936,0.048066
-0.579867,-0.000746,0.027310
-0.579532,-0.009698,0.043697
-0.579198,0.002238,0.018571
-0.578864,0.022379,0.032772
-0.578530,0.007460,-0.077562
-0.578195,-0.041029,0.085208
-0.577861,-0.038045,-0.030588
-0.577527,-0.039537,-0.040419
-0.577193,-0.056694,0.016386
-0.576859,-0.106675,0.038235
-0.576524,0.005968,-0.046974
-0.576878,0.014920,0.031680
-0.575856,-0.044759,-0.017479
-0.576209,-0.021633,-0.042604
-0.575188,-0.038045,-0.010924
-0.575540,0.023871,0.123443
-0.575206,-0.008952,0.076469
-0.574872,-0.032823,0.143107
-0.574538,0.009698,0.025126
-0.574204,-0.060424,0.075377
-0.573869,-0.014174,-0.002185
-0.573535,-0.014920,0.103780
-0.573201,-0.123086,0.109242
-0.572867,-0.021633,0.052436
-0.572532,-0.088771,-0.050251
-0.572198,0.046251,0.090671
-0.571864,-0.046997,0.119073
-0.571530,-0.016412,-0.026218
-0.571196,-0.029093,0.030588
-0.570861,-0.064900,0.045881
-0.570527,-0.050726,0.086301
-0.570193,-0.035807,-0.021848
-0.569859,0.004476,0.003277
-0.569524,-0.037299,0.016386
-0.569190,0.020887,0.004370
-0.568856,-0.055948,0.151846
-0.568522,0.017903,0.054621
-0.568187,0.036553,0.049159
-0.567853,-0.006714,0.132182
-0.567519,0.062662,0.031680
-0.567185,-0.002238,0.015294
-0.566850,0.018649,0.061175
-0.566516,0.010444,0.010924
-0.566182,-0.026109,-0.042604
-0.565848,-0.055948,-0.022941
-0.565514,-0.088771,0.014201
-0.565179,0.032077,0.072099
-0.564845,-0.058932,0.098317
-0.564511,0.004476,0.060083
-0.564177,-0.032823,0.161678
-0.563843,-0.014174,0.142014
-0.563508,-0.058932,-0.028403
-0.563174,-0.031331,0.036050
-0.562840,0.058932,0.065545
-0.562506,-0.085041,0.122351
-0.562171,0.014920,0.005462
-0.561837,-0.065646,-0.019663
-0.561503,-0.061916,0.097225
-0.561169,-0.049235,0.085208
-0.560834,-0.039537,0.032772
-0.560500,-0.032077,0.046974
-0.560166,0.088771,-0.113611
-0.559832,-0.038045,-0.015294
-0.559497,-0.054456,0.042604
-0.559163,-0.069376,0.068822
-0.558829,0.025363,0.083024
-0.558495,-0.067138,0.025126
-0.558161,-0.026109,0.113611
